City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Gualeguay,AR,78.28,clear sky,-33.1416,-59.3097,Faro del Lago
418,Sao Joao Da Barra,BR,86.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
421,Nioaque,BR,80.62,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
425,Imbituba,BR,82.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
427,Bandiagara,ML,89.94,clear sky,14.3501,-3.6104,Hotel de la Falaise
452,Karratha,AU,83.35,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
458,Port-Gentil,GA,87.76,few clouds,-0.7193,8.7815,Fengshui Residence
461,Dingle,PH,75.36,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
466,Kaura Namoda,NG,83.97,clear sky,12.5898,6.5779,Moonlight Hotel
467,Naifaru,MV,82.69,few clouds,5.4444,73.3657,Naifaru Residence Guest House
471,Tual,ID,83.8,light rain,-5.6667,132.75,Grand Vilia Hotel
472,Sibolga,ID,76.44,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
481,Porto Seguro,BR,88.32,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
484,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
487,Anito,PH,76.84,few clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
489,Kalmunai,LK,78.19,clear sky,7.4167,81.8167,VS Villa
490,Upata,VE,81.03,broken clouds,8.0086,-62.3989,Posada Villa Nela
491,Katobu,ID,76.87,overcast clouds,-4.9408,122.5276,La Ode Husein
495,Nachingwea,TZ,78.01,moderate rain,-10.3833,38.7667,Makoga lodge
496,Limbang,MY,80.91,few clouds,4.75,115.0,Purnama Hotel
513,Bintulu,MY,79.21,moderate rain,3.1667,113.0333,900 Boutique INN
514,Kieta,PG,80.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
515,San-Pedro,CI,86.34,clear sky,4.7485,-6.6363,Hotel Maria
522,Calabozo,VE,84.52,scattered clouds,8.9242,-67.4293,Hotel Giardini
523,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
527,Waingapu,ID,79.81,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
533,May Pen,JM,78.01,few clouds,17.9645,-77.2451,Mus Com Bac
546,Beaufort,MY,80.76,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
548,Sambava,MG,83.57,light rain,-14.2667,50.1667,Melrose
553,Speightstown,BB,83.01,overcast clouds,13.25,-59.65,Legend Garden Condos
563,Champerico,GT,82.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
567,Kinablangan,PH,76.59,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
568,Abeche,TD,82.35,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
573,Pandan,PH,77.74,overcast clouds,14.0453,124.1694,Bonifacio Lodge
574,Cap Malheureux,MU,82.89,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
577,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
579,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
582,Pundaguitan,PH,81.1,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
583,Amboasary,MG,80.91,broken clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
585,Boca Do Acre,BR,79.21,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
594,Byron Bay,AU,77.05,few clouds,-28.65,153.6167,Backpackers Inn
597,La Plata,AR,76.03,broken clouds,-34.9215,-57.9545,Hotel Corregidor
598,Kunigal,IN,78.31,clear sky,13.0222,77.0267,New Durga lodge
602,Paragominas,BR,83.26,overcast clouds,-2.9667,-47.4833,INOVA
606,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
612,Manaure,CO,82.51,clear sky,11.7751,-72.4445,Hotel Palaaima
613,Nakhon Sawan,TH,80.92,clear sky,15.7,100.0833,The Paradiso JK Design Hotel Nakhon Sawan.
614,Honiara,SB,78.08,overcast clouds,-9.4333,159.95,Heritage Park Hotel
619,Rodrigues Alves,BR,77.2,broken clouds,-7.738,-72.6509,Pousada Aconchego
622,Djambala,CG,87.1,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
624,Villa Carlos Paz,AR,77.4,clear sky,-31.4241,-64.4978,Monte Carlo vcp
630,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
631,Buala,SB,79.79,light rain,-8.145,159.5921,Maringe Lagoon Lodge
632,San Pedro,PH,79.83,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
639,Manavalakurichi,IN,79.0,clear sky,8.1333,77.3,Jebinrio home
644,Cururupu,BR,80.53,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
648,Gigmoto,PH,78.01,overcast clouds,13.7796,124.39,Cj's Travellers Inn
650,Port Shepstone,ZA,80.2,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
654,Bubaque,GW,78.44,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
655,Lasem,ID,77.67,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
658,Moron,AR,76.01,broken clouds,-34.6534,-58.6198,Hotel Morón
671,Santa Maria,BR,83.5,few clouds,-29.6842,-53.8069,Hotel Morotin
672,Kirakira,SB,80.22,broken clouds,-10.4544,161.9205,SanBiz Lodge
677,Santa Isabel Do Rio Negro,BR,88.2,few clouds,-0.4139,-65.0192,Hotel GSA
682,Mercedes,AR,75.85,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
687,Nouakchott,MR,87.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
689,Ambilobe,MG,79.05,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
694,Madang,PG,75.9,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
700,Jaru,BR,76.21,light rain,-10.4389,-62.4664,Hotel Paraná
702,Acarau,BR,87.37,scattered clouds,-2.8856,-40.12,castelo pizzaria
703,Bonthe,SL,86.56,few clouds,7.5264,-12.505,Bonthe Holiday Village
705,Aden,YE,77.67,clear sky,12.7794,45.0367,Sama Emirate Hotel
710,Gizo,SB,82.4,light rain,-8.103,156.8419,Imagination Island
714,Sechura,PE,76.21,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
715,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
717,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
724,Huambo,AO,76.17,overcast clouds,-12.7761,15.7392,SiSHotel
