City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Eyrarbakki,IS,63.863,-21.1481,33.04,99,100,20.67,light snow
314,Erdenet,MN,49.0333,104.0833,-9.63,95,21,3.65,few clouds
315,Kidal,ML,18.4411,1.4078,81.68,8,1,17.13,clear sky
316,Seoul,KR,37.5683,126.9778,33.24,93,100,3.44,snow
317,Kungurtug,RU,50.5994,97.5228,-16.22,99,55,1.81,broken clouds
318,Dahuk,IQ,36.8695,42.994,43.93,61,100,2.75,overcast clouds
319,Saskylakh,RU,71.9167,114.0833,-27.47,100,86,2.75,overcast clouds
320,Yulara,AU,-25.2406,130.9889,76.84,100,100,11.5,overcast clouds
321,Bartica,GY,6.4,-58.6167,84.52,86,96,3.27,overcast clouds
322,Dinguiraye,GN,11.3,-10.7167,94.15,7,9,8.97,clear sky
323,Itoman,JP,26.1247,127.6694,59.02,63,4,10.36,clear sky
324,Cheremukhovo,RU,60.3484,59.9851,4.12,98,100,0.18,overcast clouds
325,Bogotol,RU,56.2078,89.5342,-2.74,93,5,6.69,clear sky
326,Severo-Kurilsk,RU,50.6789,156.125,26.04,75,100,14.12,overcast clouds
327,Kozhva,RU,65.1073,57.0459,-0.17,98,80,4.47,broken clouds
328,Buzmeyin,TM,38.0507,58.2056,51.53,32,0,4.61,clear sky
329,Jardim,BR,-21.4803,-56.1381,80.47,73,100,6.73,overcast clouds
330,Tobias Barreto,BR,-11.1839,-37.9983,90.46,40,7,8.88,clear sky
331,Labytnangi,RU,66.6572,66.4183,-14.21,100,72,2.08,broken clouds
332,Summerville,US,33.0185,-80.1757,50.81,76,20,1.01,few clouds
333,Requena,ES,39.4883,-1.1004,67.51,26,0,17,clear sky
334,Lubbock,US,33.6001,-101.8338,37.15,61,20,1.99,few clouds
335,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,74,0,5.75,clear sky
336,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,17.27,scattered clouds
337,Kasongo-Lunda,CD,-6.4667,16.8167,85.86,57,68,4.29,broken clouds
338,Saint-Joseph,RE,-21.3667,55.6167,84.56,78,72,15.12,broken clouds
339,Rawah,IQ,34.4816,41.9093,56.55,34,24,12.1,few clouds
340,Lorengau,PG,-2.0226,147.2712,80.2,83,100,12.86,light rain
341,Kahului,US,20.8947,-156.47,72.84,78,0,0,clear sky
342,Nakusp,CA,50.2499,-117.8023,34.47,93,100,0,overcast clouds
343,Clyde River,CA,70.4692,-68.5914,-28.97,75,0,5.75,clear sky
344,Kysyl-Syr,RU,63.8986,122.7617,-27.33,100,44,4.16,scattered clouds
345,Camocim,BR,-2.9022,-40.8411,86.5,62,83,10.98,broken clouds
346,Sikasso,ML,10.9167,-7,96.8,7,84,10.31,broken clouds
347,Leningradskiy,RU,69.3833,178.4167,-17.48,93,37,6.62,scattered clouds
348,Jumla,NP,29.2747,82.1838,35.67,91,26,3.2,scattered clouds
349,Hanzhong,CN,33.0728,107.0303,41.88,65,100,1.43,overcast clouds
350,Awbari,LY,26.5921,12.7805,60.73,28,0,4.29,clear sky
351,Martil,MA,35.6166,-5.2752,69.76,60,0,3.44,clear sky
352,Grafton,US,42.207,-71.6856,20.35,57,0,1.99,clear sky
353,Leshukonskoye,RU,64.8989,45.7622,7.86,96,100,4.38,overcast clouds
354,Saint George,US,37.1041,-113.5841,43.54,50,0,3.44,clear sky
355,Yasnyy,RU,51.0333,59.8742,24.26,97,100,8.32,overcast clouds
356,Palana,RU,59.1167,159.9667,9.66,84,55,14.25,broken clouds
357,College,US,64.8569,-147.8028,-27.02,69,40,0,light snow
358,San Patricio,US,28.017,-97.5169,64.89,91,100,7.31,overcast clouds
359,Jamkhed,IN,18.7362,75.3121,77.79,16,0,5.91,clear sky
360,Tutoia,BR,-2.7619,-42.2744,91.38,63,100,10.47,overcast clouds
361,Mosquera,CO,4.7059,-74.2302,57.29,67,75,2.3,broken clouds
362,Bayir,TR,37.2687,28.2167,50.83,60,6,6.13,clear sky
363,Soyo,AO,-6.1349,12.3689,83.34,70,38,9.06,light rain
364,Lieksa,FI,63.3167,30.0167,17.1,89,100,11.01,overcast clouds
365,Manoel Urbano,BR,-8.8389,-69.2597,81.21,71,100,2.93,overcast clouds
366,Kashi,CN,39.4547,75.9797,29.41,34,20,4.47,few clouds
367,General Pico,AR,-35.6566,-63.7568,70.2,40,0,8.99,clear sky
368,Nioro,GM,13.35,-15.75,101.41,8,99,8.93,overcast clouds
369,Bambous Virieux,MU,-20.3428,57.7575,83.21,74,75,12.66,light rain
370,Evreux,FR,49.0241,1.1508,48.06,53,20,20.71,few clouds
371,Ilulissat,GL,69.2167,-51.1,10.42,52,75,10.36,broken clouds
372,Villa Union,MX,23.2,-106.2333,63.01,93,0,0,clear sky
373,Esil,KZ,51.9556,66.4042,19.99,93,100,17.29,light snow
374,Baherden,TM,38.4362,57.4316,50.61,38,0,5.79,clear sky
375,Nanortalik,GL,60.1432,-45.2371,25.41,79,99,34.92,light snow
376,Hofn,IS,64.2539,-15.2082,26.62,59,100,10.36,light snow
377,Nadym,RU,65.5333,72.5167,-8.52,100,100,6.71,overcast clouds
378,Itarema,BR,-2.9248,-39.9167,86.94,60,57,13.94,broken clouds
379,Banda Aceh,ID,5.5577,95.3222,79.68,82,51,10.92,broken clouds
380,Manubul,PH,5.4732,120.7986,82.31,76,64,7.31,broken clouds
381,Port Elizabeth,ZA,-33.918,25.5701,90.1,83,0,14.97,clear sky
382,Methven,NZ,-43.6333,171.65,59.47,100,100,1.99,overcast clouds
383,Ahualulco,MX,22.4,-101.1667,51.62,37,0,5.77,clear sky
384,Macultepec,MX,18.1667,-92.8333,65.08,82,0,0,clear sky
385,Westport,US,41.1415,-73.3579,27.91,57,0,4,clear sky
386,Pisco,PE,-13.7,-76.2167,73.45,73,40,4.61,scattered clouds
387,Okhotsk,RU,59.3833,143.3,10.04,77,99,18.95,overcast clouds
388,Hohhot,CN,40.8106,111.6522,5.29,56,0,6.71,clear sky
389,Geraldton,AU,-28.7667,114.6,75.61,78,83,16.11,broken clouds
390,Shenkursk,RU,62.1091,42.896,7.43,96,100,5.95,overcast clouds
391,Maroantsetra,MG,-15.4333,49.7333,80.53,79,91,9.78,light rain
392,Broken Hill,AU,-31.95,141.4333,74.91,83,75,9.22,broken clouds
